LOB,PAYER_TYPE,BT_CAT,MR_LINE_COM_BT,BENCH_YEAR,LM_ACPT,LM_AUPT,LM_AC,LM_ACPMPM,WM_ACPT,WM_AUPT,WM_AC,WM_ACPMPM,fCPTlm_TRD,bCPTlm_TRD,fUPTlm_TRD,bUPTlm_TRD,fCPTwm_TRD,bCPTwm_TRD,fUPTwm_TRD,bUPTwm_TRD,fAClm_TRD,bAClm_TRD,fACwm_TRD,bACwm_TRD
COMMERCIAL,,HIP,I11a,2015,17.930943,66.504633,8990.2407,49.824388,11.621767,41.399421,8816.2103,30.4155,0.051889,-0.051889,0.406679,-0.406679,0.005697,-0.005697,0.043894,-0.043894,-16.218050,16.218050,66.247850,-66.247850
COMMERCIAL,,HIP,I11a,2016,18.553613,71.384790,8795.6241,52.322815,11.690130,41.926154,9611.1845,33.5800,-0.064209,-0.051889,0.151113,-0.406679,0.014216,-0.005697,0.244269,-0.043894,63.125833,16.218050,25.730200,-66.247850
COMMERCIAL,,HIP,I11a,2017,17.783097,73.198155,9553.1341,58.272649,11.860717,44.857377,9919.9469,37.0819,-0.033523,0.064209,0.095828,-0.151113,-0.009333,-0.014216,0.163873,-0.244269,41.440241,-63.125833,28.963608,-25.730200
COMMERCIAL,,HIP,I11a,2018,17.380817,74.348096,10050.4170,62.269114,11.748727,46.823854,10267.5102,40.0637,-0.050065,0.033523,-0.121133,-0.095828,0.025939,0.009333,0.198846,-0.163873,38.951583,-41.440241,45.207316,-28.963608
COMMERCIAL,,HIP,I11a,2019,16.780027,72.894490,10517.8360,63.891024,12.060000,49.210000,10809.9980,44.3300,-0.016046,0.050065,0.020820,0.121133,-0.035057,-0.025939,-0.083381,-0.198846,36.739941,-38.951583,30.567600,-45.207316
COMMERCIAL,,HIP,I11a,2020,16.587475,73.144340,10958.7153,66.797333,11.639318,48.209430,11176.8092,44.9023,-0.016046,0.016046,0.020820,-0.020820,-0.035057,0.035057,-0.083381,0.083381,36.739941,-36.739941,30.567600,-30.567600
COMMERCIAL,,HIP,I11b,2015,0.499057,6.675367,3641.3495,2.025612,0.278233,3.400579,3579.9786,1.0145,0.001444,-0.001444,0.040820,-0.040820,0.000136,-0.000136,0.003606,-0.003606,-6.568941,6.568941,26.886241,-26.886241
COMMERCIAL,,HIP,I11b,2016,0.516387,7.165210,3562.5222,2.127185,0.279870,3.443846,3902.6135,1.1200,-0.001787,-0.001444,0.015168,-0.040820,0.000340,-0.000136,0.020064,-0.003606,25.568108,6.568941,10.447850,-26.886241
COMMERCIAL,,HIP,I11b,2017,0.494942,7.347226,3869.3395,2.369076,0.283954,3.684619,4027.9877,1.2368,-0.004943,0.001787,-0.052251,-0.015168,-0.000223,-0.000340,0.013461,-0.020064,46.986383,-25.568108,11.773066,-10.447850
COMMERCIAL,,HIP,I11b,2018,0.435619,6.720204,4433.1761,2.482654,0.281273,3.846146,4169.2645,1.3363,0.002617,0.004943,0.049711,0.052251,-0.001773,0.000223,-0.017179,-0.013461,-14.425033,-46.986383,50.912941,-11.773066
COMMERCIAL,,HIP,I11b,2019,0.467025,7.316746,4260.0757,2.597491,0.260000,3.640000,4780.2198,1.4500,-0.000446,-0.002617,0.002089,-0.049711,0.001554,0.001773,0.026663,0.017179,14.880933,14.425033,-20.165916,-50.912941
COMMERCIAL,,HIP,I11b,2020,0.461665,7.341824,4438.6469,2.715647,0.278653,3.959959,4538.2288,1.4976,-0.000446,0.000446,0.002089,-0.002089,0.001554,-0.001554,0.026663,-0.026663,14.880933,-14.880933,-20.165916,20.165916
